x	dx	a	b
0	20	0	0
20	20	0	3
40	20	2	15
60	20	121	2
80	20	306	2
100	20	811	0
120	20	1022	3
140	20	910	5
160	20	799	1
180	20	709	1
200	20	593	1
220	20	600	0
240	20	501	1
260	20	408	1
280	20	358	0
300	20	316	0
320	20	256	0
340	20	252	2
360	20	200	1
380	20	161	0
400	20	121	3
420	20	103	2
440	20	107	1
460	20	74	0
480	20	73	1
500	20	61	0
520	20	63	0
540	20	56	0
560	20	44	1
580	20	28	0
600	20	30	0
620	20	27	0
640	20	30	1
660	20	24	1
680	20	15	1
700	20	15	1
720	20	24	1
740	20	18	1
760	20	17	2
780	20	14	0
800	20	19	1
820	20	21	1
840	20	7	0
860	20	11	4
880	20	11	1
900	20	7	2
920	20	15	3
940	20	14	3
960	20	8	3
980	20	256	290
